"Период","Google Ads","Яндекс: Директ","Яндекс.Директ: Не определено","Другая реклама: определено по меткам","nothing"
"2020-01-01","83","0","0","0",""
"2020-01-02","104","0","0","0",""
"2020-01-03","98","0","0","0",""
"2020-01-04","68","0","0","0",""
"2020-01-05","67","0","0","0",""
"2020-01-06","90","0","0","0",""
"2020-01-07","128","0","0","0",""
"2020-01-08","114","0","0","0",""
"2020-01-09","119","0","0","0",""
"2020-01-10","88","0","0","0",""
"2020-01-11","73","0","0","0",""
"2020-01-12","83","0","0","0",""
"2020-01-13","84","0","0","0",""
"2020-01-14","124","0","0","0",""
"2020-01-15","111","0","0","0",""
"2020-01-16","97","0","0","0",""
"2020-01-17","85","0","0","0",""
"2020-01-18","62","0","0","0",""
"2020-01-19","64","0","0","0",""
"2020-01-20","97","0","0","0",""
"2020-01-21","95","0","0","0",""
"2020-01-22","132","0","0","0",""
"2020-01-23","100","0","0","0",""
"2020-01-24","107","0","0","0",""
"2020-01-25","47","0","0","0",""
"2020-01-26","73","0","0","0",""
"2020-01-27","99","0","0","0",""
"2020-01-28","97","0","0","0",""
"2020-01-29","109","0","0","0",""
"2020-01-30","112","0","0","0",""
"2020-01-31","105","0","0","0",""
"2020-02-01","61","0","0","0",""
"2020-02-02","68","0","0","0",""
"2020-02-03","76","0","0","0",""
"2020-02-04","92","0","0","0",""
"2020-02-05","96","0","0","0",""
"2020-02-06","133","0","0","0",""
"2020-02-07","93","0","0","0",""
"2020-02-08","65","0","0","0",""
"2020-02-09","73","0","0","0",""
"2020-02-10","102","0","0","0",""
"2020-02-11","99","0","0","0",""
"2020-02-12","91","0","0","0",""
"2020-02-13","106","0","0","0",""
"2020-02-14","84","0","0","0",""
"2020-02-15","67","0","0","0",""
"2020-02-16","60","0","0","0",""
"2020-02-17","110","0","0","0",""
"2020-02-18","96","0","0","0",""
"2020-02-19","99","0","0","0",""
"2020-02-20","104","0","0","0",""
"2020-02-21","78","0","0","0",""
"2020-02-22","55","0","0","0",""
"2020-02-23","76","0","0","0",""
"2020-02-24","86","0","0","0",""
"2020-02-25","105","0","0","0",""
"2020-02-26","92","0","0","0",""
"2020-02-27","117","0","0","0",""
"2020-02-28","77","0","0","0",""
"2020-02-29","43","0","0","0",""
"2020-03-01","71","0","0","0",""
"2020-03-02","96","0","0","0",""
"2020-03-03","86","0","0","0",""
"2020-03-04","76","0","0","0",""
"2020-03-05","101","0","0","0",""
"2020-03-06","51","0","0","0",""
"2020-03-07","5","0","0","0",""
"2020-03-08","3","0","0","0",""
"2020-03-09","40","0","0","0",""
"2020-03-10","97","0","0","0",""
"2020-03-11","121","0","0","0",""
"2020-03-12","69","0","0","0",""
"2020-03-13","68","0","0","0",""
"2020-03-14","65","0","0","0",""
"2020-03-15","72","0","0","0",""
"2020-03-16","107","0","0","0",""
"2020-03-17","98","0","0","0",""
"2020-03-18","65","0","0","0",""
"2020-03-19","67","0","0","0",""
"2020-03-20","94","0","0","0",""
"2020-03-21","54","0","0","0",""
"2020-03-22","54","0","0","0",""
"2020-03-23","88","0","0","0",""
"2020-03-24","82","0","0","0",""
"2020-03-25","91","0","0","0",""
"2020-03-26","82","0","0","0",""
"2020-03-27","45","0","0","0",""
"2020-03-28","47","0","0","0",""
"2020-03-29","58","0","0","0",""
"2020-03-30","91","0","0","0",""
"2020-03-31","64","0","0","0",""
"2020-04-01","85","0","0","0",""
"2020-04-02","77","0","0","0",""
"2020-04-03","67","0","0","0",""
"2020-04-04","45","0","0","0",""
"2020-04-05","48","0","0","0",""
"2020-04-06","69","0","0","0",""
"2020-04-07","99","0","0","0",""
"2020-04-08","92","0","0","0",""
"2020-04-09","74","0","0","0",""
"2020-04-10","85","0","0","0",""
"2020-04-11","40","0","0","0",""
"2020-04-12","66","0","0","0",""
"2020-04-13","84","0","0","0",""
"2020-04-14","84","0","0","0",""
"2020-04-15","88","0","0","0",""
"2020-04-16","100","0","0","0",""
"2020-04-17","84","0","0","0",""
"2020-04-18","62","0","0","0",""
"2020-04-19","54","0","0","0",""
"2020-04-20","78","0","0","0",""
"2020-04-21","75","0","0","0",""
"2020-04-22","62","0","0","0",""
"2020-04-23","76","0","0","0",""
"2020-04-24","74","0","0","0",""
"2020-04-25","70","0","0","0",""
"2020-04-26","53","0","0","0",""
"2020-04-27","52","0","0","0",""
"2020-04-28","105","0","0","0",""
"2020-04-29","74","0","0","0",""
"2020-04-30","54","0","0","0",""
"2020-05-01","56","0","0","0",""
"2020-05-02","62","0","0","0",""
"2020-05-03","67","0","0","0",""
"2020-05-04","94","0","0","0",""
"2020-05-05","105","0","0","0",""
"2020-05-06","101","0","0","0",""
"2020-05-07","84","0","0","0",""
"2020-05-08","67","0","0","0",""
"2020-05-09","28","0","0","0",""
"2020-05-10","42","0","0","0",""
"2020-05-11","68","0","0","0",""
"2020-05-12","84","0","0","0",""
"2020-05-13","90","0","0","0",""
"2020-05-14","87","0","0","0",""
"2020-05-15","76","0","0","0",""
"2020-05-16","54","0","0","0",""
"2020-05-17","59","0","0","0",""
"2020-05-18","87","0","0","0",""
"2020-05-19","76","0","0","0",""
"2020-05-20","93","0","0","0",""
"2020-05-21","109","0","0","0",""
"2020-05-22","74","0","0","0",""
"2020-05-23","47","0","0","0",""
"2020-05-24","58","0","0","0",""
"2020-05-25","90","0","0","0",""
"2020-05-26","80","0","0","0",""
"2020-05-27","81","0","0","0",""
"2020-05-28","74","0","0","0",""
"2020-05-29","83","0","0","0",""
"2020-05-30","63","0","0","0",""
"2020-05-31","40","0","0","0",""
